S.No.,Video-Name,Task,Name/Id in source dataset,Source-Dataset,Manipulation
62,0061.mp4,Remove the man on the left side (00:00 - 00:05),https://vimeo.com/133674125,Vimeo,Removing an entity/Removing a subject
63,0062.mp4,Duplicate random frames in between to make it into a 10 second video (00:10 - 00:16),https://vimeo.com/133674125,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down
64,0063.mp4,Remove the dog and the leash (01:07 - 01:11),https://vimeo.com/133674125,Vimeo,Removing an entity/Removing a subject
65,0064.mp4,Cut short to 2 seconds by speeding up the video. (01:34 - 01:40),https://vimeo.com/35514848,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down
66,0065.mp4,Duplicate frames and make the video 10 seconds long (00:35 - 00:38),https://vimeo.com/35514848,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down
67,0066.mp4,Remove the guy standing on the left (blue shirt)  (03:41 - 03:51),https://vimeo.com/212816789,Vimeo,Removing an entity/Removing a subject
68,0067.mp4,Remove the two people standing in the corner (01:24 - 01:34),https://vimeo.com/82837911,Vimeo,Removing an entity/Removing a subject
69,0068.mp4,Remove the groom from the video (01:46 - 01:54),https://vimeo.com/82837911,Vimeo,Removing an entity/Removing a subject
70,0069.mp4,Duplicate frames to make it seem like the rider is going very slow (00:06 - 00:10),https://vimeo.com/68534760,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down
71,0070.mp4,Remove the guy in green shirt (01:30 - 01:40),https://vimeo.com/67455448,Vimeo,Removing an entity/Removing a subject
72,0071.mp4,"Around 0:42, there is a person is a black coat who passes the last turnstile, can you cut this person out, and make them cross the turnstile at a different time and different turnstile in the the video",https://vimeo.com/10335217,Vimeo,Adding an entity/ Adding a subject
73,0072.mp4,Insert the person working out in aux9.mp4 into this video 2:49 (remove audio from both videos),https://vimeo.com/343046827 & https://vimeo.com/589427217,Vimeo,Adding an entity/ Adding a subject
74,0073.mp4,Person at 1:53 in (aux10.mp4)https://vimeo.com/13991708  inserted into https://vimeo.com/67468221,https://vimeo.com/13991708 & https://vimeo.com/67468221,Vimeo,Adding an entity/ Adding a subject
75,0074.mp4,Add a stationary car at 1:00 to 1:06,https://vimeo.com/58011206,Vimeo,Adding an entity/ Adding a subject
76,0075.mp4,From 2:33 to 2:43 repeat some of the frame in reverse so that it appears that the man is winding and unwinding the spool of rope. ,https://vimeo.com/58011206,Vimeo,Frame duplication/Reversed Frames/Frame dropping/Speeding up/Slowing down
77,0076.mp4,Remove the woman walking in the background from 0:15 to 0:21,https://vimeo.com/591113015,Vimeo,Removing an entity/Removing a subject
78,0077.mp4,Take the person working out (aux11.mp4) and insert him to the left of the man talking. ,https://vimeo.com/591153582 & https://vimeo.com/591133552,Vimeo,Adding an entity/ Adding a subject
